Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11244874,0,"Friday, February 15, 2013 04:53:49 UTC",35.8527,-117.9253,1.6,9.60, 9,"Central California"
ci,11244866,0,"Friday, February 15, 2013 04:51:41 UTC",35.6623,-118.4722,2.0,10.20,47,"Central California"
ak,10656456,1,"Friday, February 15, 2013 04:36:05 UTC",59.9894,-152.3398,2.2,88.80,12,"Southern Alaska"
ci,11244842,0,"Friday, February 15, 2013 04:11:14 UTC",35.5640,-118.5173,1.8,0.00, 8,"Central California"
hv,60450127,4,"Friday, February 15, 2013 03:53:31 UTC",19.3862,-155.4670,1.1,11.20,15,"Island of Hawaii, Hawaii"
us,c000f7mi,8,"Friday, February 15, 2013 03:02:23 UTC",-19.7189,-174.4758,5.8,71.70,362,"Tonga"
ak,10656338,1,"Friday, February 15, 2013 02:38:11 UTC",64.1932,-150.0326,1.4,16.10, 9,"Central Alaska"
ak,10656329,2,"Friday, February 15, 2013 02:27:00 UTC",59.5424,-153.1862,3.1,96.30,61,"Southern Alaska"
ci,11244810,2,"Friday, February 15, 2013 02:00:20 UTC",36.0310,-117.7673,1.3,2.50,30,"Central California"
pr,13046000,0,"Friday, February 15, 2013 01:50:00 UTC",17.9293,-66.0605,2.9,18.00, 9,"Puerto Rico region"
nn,00403190,9,"Friday, February 15, 2013 01:33:36 UTC",38.0307,-118.0407,1.0,7.90,11,"Nevada"
nc,71937615,0,"Friday, February 15, 2013 01:24:51 UTC",37.7263,-122.5518,1.7,8.10,16,"offshore Northern California"
nc,71937605,3,"Friday, February 15, 2013 01:16:45 UTC",37.6072,-119.0183,1.6,9.60,50,"Central California"
nc,71937590,2,"Friday, February 15, 2013 00:43:27 UTC",37.1018,-119.2680,2.1,30.40,37,"Central California"
ak,10656297,1,"Friday, February 15, 2013 00:41:47 UTC",61.0867,-150.3774,1.6,17.70, 7,"Southern Alaska"
pr,13046001,0,"Friday, February 15, 2013 00:31:05 UTC",18.0576,-66.0934,2.4,22.00,10,"Puerto Rico"
ak,10656281,1,"Friday, February 15, 2013 00:15:34 UTC",65.0090,-147.4446,1.6,3.20, 5,"northern Alaska"
us,c000f7l3,6,"Thursday, February 14, 2013 23:58:00 UTC",-0.4110,98.5479,4.7,11.30,37,"Kepulauan Batu, Indonesia"
nc,71937560,4,"Thursday, February 14, 2013 23:51:12 UTC",37.5388,-118.8220,2.6,7.30,53,"Central California"
uw,60506301,2,"Thursday, February 14, 2013 23:47:18 UTC",45.3888,-123.2508,1.4,0.00, 8,"Oregon"
ci,11244786,2,"Thursday, February 14, 2013 23:45:34 UTC",33.0520,-116.4345,1.3,9.10,28,"Southern California"
ci,11244770,2,"Thursday, February 14, 2013 23:41:39 UTC",33.5077,-116.4522,1.0,8.80,32,"Southern California"
us,c000f7kq,4,"Thursday, February 14, 2013 23:35:43 UTC",44.5396,149.0240,4.5,56.00,66,"Kuril Islands"
nn,00403180,9,"Thursday, February 14, 2013 23:35:28 UTC",38.0446,-118.0901,1.2,16.00, 7,"Nevada"
nn,00403179,9,"Thursday, February 14, 2013 23:32:39 UTC",38.0432,-118.0253,2.1,6.10,35,"Nevada"
uw,60506296,2,"Thursday, February 14, 2013 23:22:04 UTC",42.3650,-122.8228,1.7,0.00,13,"Oregon"
ci,11244738,2,"Thursday, February 14, 2013 23:02:42 UTC",35.4217,-118.4737,1.9,11.10,37,"Central California"
ak,10656239,1,"Thursday, February 14, 2013 22:50:11 UTC",60.5273,-150.8378,2.1,44.50, 9,"Kenai Peninsula, Alaska"
uw,60506276,1,"Thursday, February 14, 2013 22:17:02 UTC",49.3887,-120.4778,2.3,0.00,11,"British Columbia, Canada"
nc,71937515,0,"Thursday, February 14, 2013 22:03:40 UTC",37.3220,-122.1053,1.9,0.00, 7,"San Francisco Bay area, California"
hv,60450057,2,"Thursday, February 14, 2013 21:53:45 UTC",19.4310,-155.8430,2.6,10.00,32,"Island of Hawaii, Hawaii"
us,c000f7ib,4,"Thursday, February 14, 2013 21:46:13 UTC",-0.4724,98.6153,4.6,34.20,43,"Kepulauan Batu, Indonesia"
ak,10656192,1,"Thursday, February 14, 2013 21:05:36 UTC",63.4791,-151.3375,1.7,9.80, 8,"Central Alaska"
ci,11244706,2,"Thursday, February 14, 2013 20:52:44 UTC",33.1910,-116.4123,1.0,10.90,22,"Southern California"
us,c000f7g9,6,"Thursday, February 14, 2013 20:26:15 UTC",67.6209,142.4849,4.8,10.00,87,"northeastern Sakha, Russia"
ak,10656182,1,"Thursday, February 14, 2013 20:22:00 UTC",63.4879,-151.3321,1.9,0.20,11,"Central Alaska"
ak,10656176,1,"Thursday, February 14, 2013 20:13:46 UTC",63.4736,-151.3348,2.0,2.80,11,"Central Alaska"
ci,11244690,2,"Thursday, February 14, 2013 20:08:14 UTC",35.3265,-118.5787,2.1,5.40,57,"Central California"
nn,00403149,9,"Thursday, February 14, 2013 19:33:33 UTC",38.0442,-118.0065,1.0,6.10,12,"Nevada"
nn,00403147,9,"Thursday, February 14, 2013 19:32:07 UTC",38.0385,-118.0292,1.3,7.60,13,"Nevada"
nn,00403146,9,"Thursday, February 14, 2013 19:30:51 UTC",38.0389,-118.0327,1.8,9.10,14,"Nevada"
us,c000f7eg,8,"Thursday, February 14, 2013 19:23:02 UTC",-11.5933,165.8907,4.7,35.90,42,"Santa Cruz Islands"
hv,60450012,1,"Thursday, February 14, 2013 19:09:20 UTC",19.3772,-155.2405,1.8,3.50,17,"Island of Hawaii, Hawaii"
us,c000f7dh,7,"Thursday, February 14, 2013 18:57:21 UTC",-7.4699,119.7183,4.9,28.50,71,"Flores Sea"
ci,11244658,2,"Thursday, February 14, 2013 18:33:34 UTC",33.1295,-116.0772,1.2,5.60,16,"Southern California"
ci,11244650,2,"Thursday, February 14, 2013 18:28:07 UTC",35.5645,-118.5237,1.2,0.00,17,"Central California"
nc,71937430,4,"Thursday, February 14, 2013 18:26:43 UTC",40.3405,-124.3562,2.5,15.30,26,"Northern California"
us,c000f7di,2,"Thursday, February 14, 2013 18:22:39 UTC",36.4230,142.5777,4.5,37.00,11,"off the east coast of Honshu, Japan"
ak,10656138,1,"Thursday, February 14, 2013 18:15:44 UTC",60.2728,-150.6655,1.9,53.00, 8,"Kenai Peninsula, Alaska"
ak,10656133,1,"Thursday, February 14, 2013 18:08:10 UTC",62.6318,-151.1008,1.7,78.80,13,"Central Alaska"
ci,11244642,4,"Thursday, February 14, 2013 18:04:08 UTC",34.0660,-117.1962,1.2,7.00,16,"Greater Los Angeles area, California"
nc,71937420,1,"Thursday, February 14, 2013 17:58:04 UTC",38.8085,-122.7803,1.2,0.90,23,"Northern California"
us,c000f7bl,4,"Thursday, February 14, 2013 17:17:42 UTC",67.6553,142.4511,4.6,15.90,42,"northeastern Sakha, Russia"
us,c000f7bg,6,"Thursday, February 14, 2013 17:03:37 UTC",-16.0850,-173.3901,4.6,145.60,135,"Tonga"
nn,00403115,9,"Thursday, February 14, 2013 17:03:32 UTC",40.5070,-118.0435,1.8,2.00, 4,"Nevada"
ci,11244594,2,"Thursday, February 14, 2013 16:57:11 UTC",36.0920,-117.8453,1.6,2.60,41,"Central California"
us,c000f7be,5,"Thursday, February 14, 2013 16:56:22 UTC",22.8324,5.2330,4.3,13.50,13,"southern Algeria"
us,c000f7bc,6,"Thursday, February 14, 2013 16:52:16 UTC",-4.4427,135.2394,5.3,31.60,110,"near the south coast of Papua, Indonesia"
